barcode,gender,imageUrl,name,brandName,ageGroup,category,subCategory,productType,colorPalette,color,allTags
bdwy_8906148971351,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971351_1.jpg?v=1766473541,CMC Power Lash Mascara,Charmacy,adult,Beauty & Personal Care,Mascaras,Fibre Mascara,N/A,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971351_1.jpg?v=1766473541,"All-Day Wear, Beauty & Personal Care, Black, Buildable, Conditioning, Feathery Finish, Fibre Mascara, Lengthening, Lightweight, Mascaras, Volumizing"
bdwy_8906148970576,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970576_1.jpg?v=1766473175,Charmacy Milano Sketch Eyeliner,Charmacy,adult,Beauty & Personal Care,Eyeliners,Felt-Tip Eyeliner,True Winter,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970576_1.jpg?v=1766473175,"Beauty & Personal Care, Black, Eyeliners, Fast-Drying, Felt-Tip Eyeliner, High-pigment Matte, Intense Pigment, Non-Irritating, Precision, Smudge-Proof, Waterproof"
bdwy_8906148970651,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970651_1.jpg?v=1766471146,Stunning Longstay Liquid Lip,CHARMACY,adult,Beauty & Personal Care,Makeup,Lipsticks,True Autumn,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970651_1.jpg?v=1766471146,"Beauty & Personal Care, Cream, Hydrating, Lipsticks, Liquid Lipstick, Long-lasting, Makeup, Matte, Pigmented, Red"
bdwy_8906148970712,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970712_1.jpg?v=1766471107,Stunning Longstay Liquid Lip,CHARMACY,adult,Beauty & Personal Care,Lipsticks,Liquid Lipstick,True Spring,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970712_1.jpg?v=1766471107,"Beauty & Personal Care, Creamy, Lipsticks, Liquid, Liquid Lipstick, Long-lasting, Matte, Pigmented, Pink, Transfer Resistant"
bdwy_8906148970743,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970743_1.jpg?v=1766471057,Stunning Longstay Liquid Lip,CHARMACY,adult,Beauty & Personal Care,Makeup,Lipsticks,Bright Spring,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970743_1.jpg?v=1766471057,"Beauty & Personal Care, Cream, Hydrating, Lipsticks, Liquid Lipstick, Long-lasting, Makeup, Matte, Pigmented, Pink"
bdwy_8906148970668,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970668_1.jpg?v=1766470954,Stunning Longstay Liquid Lip,CHARMACY,adult,Beauty & Personal Care,Makeup,Lipsticks,Bright Spring,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148970668_1.jpg?v=1766470954,"Beauty & Personal Care, Cream, Hydrating, Lipsticks, Liquid Lipstick, Long-lasting, Makeup, Matte, Pigmented, Pink"
bdwy_8906148971245,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971245_1.jpg?v=1766470815,Stunning Longstay Liquid Lip,CHARMACY,adult,Beauty & Personal Care,Lipsticks,Liquid Lipstick,True Spring,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971245_1.jpg?v=1766470815,"Beauty & Personal Care, Creamy, Hydrating, Lipsticks, Liquid, Liquid Lipstick, Long-lasting, Matte, Pigmented, Pink"
bdwy_8906148971207,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971207_1.jpg?v=1766470720,Stunning Longstay Liquid Lip,CHARMACY,adult,Beauty & Personal Care,Makeup,Lipsticks,True Spring,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971207_1.jpg?v=1766470720,"Beauty & Personal Care, Cream, Hydrating, Lipsticks, Liquid Lipstick, Long-lasting, Makeup, Matte, Pigmented, Pink"
bdwy_8906148971238,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971238_1.jpg?v=1766470553,CMC Stunning Longstay Liquid Lip,Charmacy Milano,adult,Beauty & Personal Care,Lipsticks,Liquid Lipstick,N/A,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971238_1.jpg?v=1766470553,"Beauty & Personal Care, Comfortable, Lipsticks, Liquid, Liquid Lipstick, Long-lasting, Long-Wear, Matte, Smudge Resistant, Velvet Finish"
bdwy_8906148971139,female,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971139_1.jpg?v=1766470446,CMC True & False Mascara,Charmacy Milano,adult,Beauty & Personal Care,Mascaras,Makeup,N/A,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/8906148971139_1.jpg?v=1766470446,"Beauty & Personal Care, Black, Buildable Coverage, Dual-Sided Wand, Fibre-Enhanced, Lengthening, Lightweight, Makeup, Mascaras, Ultra-Defining, Volume"
